name,address,type,city,state,country,country_code,timezone,currency_code,total_number_of_apartments,total_floors,postal_code,plus_code,digital_address,landmark,contact_phone,contact_email,contact_address,estate_code,referrer_id
"Sunset Gardens Estate","123 Sunset Boulevard","residential","Lagos","Lagos State","Nigeria","NG","Africa/Lagos","NGN",150,10,"100001","6FRW+C2 Lagos, Nigeria","","Near Central Park","+2348012345678","manager@sunsetgardens.com","123 Sunset Boulevard, Lagos","SG001",""
"Victoria Island Towers","45 Ahmadu Bello Way","mixed","Lagos","Lagos State","Nigeria","NG","Africa/Lagos","NGN",200,15,"101241","6FRW+C2 Lagos, Nigeria","","VGC Junction","+2348023456789","admin@vitowers.com","45 Ahmadu Bello Way, Lagos","VIT001",""
"Lekki Phase 1 Homes","78 Admiralty Way","residential","Lagos","Lagos State","Nigeria","NG","Africa/Lagos","NGN",85,6,"105102","6FRW+C2 Lagos, Nigeria","","Lekki Toll Gate","+2348034567890","contact@lekkihomes.com","78 Admiralty Way, Lagos","LPH001",""
"Abuja Central Plaza","12 Central Business District","commercial","Abuja","FCT","Nigeria","NG","Africa/Lagos","NGN",300,20,"900001","6FRW+C2 Abuja, Nigeria","","Area 11","+2348045678901","info@abujacentral.com","12 CBD, Abuja","ACP001",""
"GRA Estate Kano","56 Government Reserved Area","residential","Kano","Kano State","Nigeria","NG","Africa/Lagos","NGN",120,8,"700001","6FRW+C2 Kano, Nigeria","","Kano Airport","+2348056789012","manager@grakano.com","56 GRA, Kano","GEK001",""
"Port Harcourt Gardens","89 Trans Amadi","residential","Port Harcourt","Rivers State","Nigeria","NG","Africa/Lagos","NGN",95,7,"500001","6FRW+C2 Port Harcourt, Nigeria","","Trans Amadi Industrial Layout","+2348067890123","admin@phgardens.com","89 Trans Amadi, PH","PHG001",""
"Ikeja Business Hub","34 Allen Avenue","commercial","Lagos","Lagos State","Nigeria","NG","Africa/Lagos","NGN",180,12,"100271","6FRW+C2 Lagos, Nigeria","","Murtala Mohammed Airport","+2348078901234","contact@ikejahub.com","34 Allen Avenue, Lagos","IBH001",""
"Enugu Heights","67 Independence Layout","residential","Enugu","Enugu State","Nigeria","NG","Africa/Lagos","NGN",110,9,"400001","6FRW+C2 Enugu, Nigeria","","University of Nigeria","+2348089012345","info@enuguheights.com","67 Independence Layout, Enugu","EH001",""
"Accra Central Complex","123 Kwame Nkrumah Avenue","mixed","Accra","Greater Accra","Ghana","GH","Africa/Accra","GHS",250,18,"GA-123-4567","GH-POST Accra, Ghana","","Independence Square","+233241234567","manager@accracentral.com","123 Kwame Nkrumah Ave, Accra","ACC001",""
"Cape Coast Marina","45 Harbour Road","residential","Cape Coast","Central Region","Ghana","GH","Africa/Accra","GHS",75,5,"CC-789-0123","GH-POST Cape Coast, Ghana","","University of Cape Coast","+233242345678","admin@capemarina.com","45 Harbour Road, Cape Coast","CCM001",""
